'a'bi'ke'tang 阿比可糖
'fei'xian'xing'fen'bu 非线性分布
'fei'xian'xing'xiang'guan 非线性相关
'fei'xiang'di'xing 非向地性
'fei'xiang'hu'yi'wei 非相互易位
'fei'xie'tiao'de'yi'zhong'yi'zhi 非协调的异种移植
'fei'xin'shi 非信使
'fei'xin'xi'wei'dian 非信息位点
'fei'xing'ji 飞行肌
'fei'xiong'xian'yi'lai'qu 非胸腺依赖区
'fei'xiong'xian'yi'lai'xing'kang'yuan 非胸腺依赖性抗原
'fei'xu'jing'luan 非需精卵
'fei'xu'yong'dan'wei 非许用单位
'fei'xuan'ze'xing'biao'ji 非选择性标记
'fei'xue'dan'bai'lei 非血蛋白类
'fei'xue'liu 肺血流
'fei'xun'chang'guang'xian 非寻常光线
'fei'xun'chang'she'xian 非寻常射线
'fei'xun'huan'guang'he'lin'suan'hua 非循环光合磷酸化
'fei'xun'huan'lin'suan'hua 非循环磷酸化
'fei'ya'liu'suan'ye 废亚硫酸液
'fei'yan'cao'se'su 飞燕草色素
'fei'yan'cao'se'su'gan 飞燕草色素苷
'fei'yan'qiu'jun 肺炎球菌
'fei'yan'qiu'jun'duo'tang 肺炎球菌多糖
'fei'yan'qiu'jun'jia'mo'peng'zhang'shi'yan 肺炎球菌荚膜膨胀试验
'fei'yan'qiu'jun'shu 肺炎球菌属
'fei'yan'qiu'jun'zhuan'hua 肺炎球菌转化
'fei'yang'hua'xing'tuo'an 非氧化性脱氨
'fei'yang'hua'xing'tuo'an'zuo'yong 非氧化性脱氨作用
'fei'yi'chuan'duo'xing'xing 非遗传多型性
'fei'yi'lai'xing'fen'hua 非依赖性分化
'fei'yi'liao'mei'rong 非医疗美容
'fei'yi'zhi 肺移植
'fei'ying'huan'shi 飞蝇幻视
'fei'yu 肺鱼
'fei'yu'ya'gang 肺鱼亚纲
'fei'yuan'zhi'ti 非原质体
'fei'zang 肺脏
'fei'zao'pao'shi'yan 肥皂泡试验
'fei'zheng'bei'dan'bei'ti 非整倍单倍体
'fei'zheng'bei'dan'bei'xing 非整倍单倍性
'fei'zheng'bei'ti 非整倍体
'fei'zheng'bei'ti'xi'bao'xi 非整倍体细胞系
'fei'zheng'bei'ti'zhong 非整倍体种
'fei'zheng'bei'xing 非整倍性
'fei'zheng'chang'xing 非正常型
'fei'zheng'fan'chong'zu 非正反重组
'fei'zheng'jiao'xing 非正交性
'fei'zheng'zhong'guan'xi 非正中关系
'fei'zheng'zhong'he'gu'guan'xi 非正中颌骨关系
'fei'zhi'hua'zhi'fang'suan 非酯化脂肪酸
'fei'zhou'fang'ji'jian 非洲防己碱
'fei'zhou'fang'yi'jian 非洲防已碱
'fei'zhou'fei'yu 非洲肺鱼
'fei'zhou'jie 非洲界
'fei'zhou'lin'ba'liu'bing'du 非洲淋巴瘤病毒
'fei'zhou'qi'xing'ju'he'wu 非周期性聚合物
'fei'zhou'shuo'lian'du'dan'bai 非洲蒴莲毒蛋白
'fei'zhou'zhao'chan 非洲爪蟾
'fei'zhu'dong'yun'shu 非主动运输
'fei'zhu'kong'shou'jing 非珠孔受精
'fei'zhuan'lu'qu 非转录区
'fei'zhuan'yi'xing'ning'ji 非专一性凝集
'fei'zhuan'yi'xing'zhi'li 非转移性质粒
'fei'zi'mei'lian 非姊妹链
'fei'zi'mei'ran'se'dan'ti 非姊妹染色单体
'fei'zi'zhu'biao'xing 非自主表型
'fei'zu'dan'bai 非组蛋白
'fei'zu'dan'bai'dan'bai'zhi 非组蛋白蛋白质
'fei'zu'zhi'te'yi'xing'kang'yuan 非组织特异性抗原
'fen'bao'zi 分孢子
'fen'bao'zi 粉孢子
'fen'bao'zi'geng 粉孢子梗
'fen'bao'zi'nang 分孢子囊
'fen'bi'ka'huan 分臂卡环
'fen'bian'ji'sheng'wu 粪便寄生物
'fen'bian'qian'sai 粪便嵌塞
'fen'bie'tou 分别透
'fen'bie'tou'xing'mo 分别透性膜
'fen'bu'bai'fen'shu 分布百分数
'fen'bu'fen'li 分部分离
'fen'bu'lin 粪卟啉
'fen'bu'lin'yuan 粪卟啉原
'fen'bu'mie'jun'fa 分步灭菌法
'fen'bu'ping'heng 分布平衡
'fen'bu'qu'bu'zhong'die 分布区不重叠
'fen'bu'qu'bu'zhong'die'zhong 分布区不重叠种
'fen'bu'qu'xian 分布曲线
'fen'bu'shou'ji 分部收集
'fen'bu'zhi'pu'fa 分部质谱法
'fen'bu'zhi'pu'tu 分部质谱图
'fen'cha'ji 分叉肌
'fen'cha'mu'zhi 分叉拇指
'fen'cha'she 分叉舌
'fen'cha'xing'shen'yu 分叉型肾盂
'fen'cha'xing'shu'niao'guan 分叉型输尿管
'fen'chou'su 粪臭素
'fen'chu'qun 分出群
'fen'ci'ji'liang 分次剂量
'fen'ci'zhuang'ru'xian'yan 粉刺状乳腺炎
'fen'dai'ji'shu 分带技术
'fen'dan 粪胆
'fen'dan'se'su 粪胆色素
'fen'dan'se'su'yuan 粪胆色素原
'fen'dao 粪道
'fen'duan'chen'dian 分段沉淀
'fen'duan'he'cheng'mei 分段合成酶
'fen'duan'ji'yin'zu'bing'du 分段基因组病毒
'fen'duan'jie'gu'shu 分段截骨术
'fen'duan'mie'jun'fa 分段灭菌法
'fen'duan'xi'tuo 分段洗脱
'fen'duan'yin'mo 分段印模
'fen'fan'zhi'ji'yin'de'qu 分繁殖基因的区
'fen'fang'ji'jian 粉防己碱
'fen'feng 分蜂
'fen'feng'chong'dong 分蜂冲动
'fen'feng'qun 分蜂群
'fen'ge'lian'jie 分隔连接
'fen'ge'shu 分隔术
'fen'gen'zhu 分根株
'fen'guan'he 粉管核
'fen'guan'shou'jing 粉管受精
'fen'guan'shou'jing'zhi'wu 粉管受精植物
'fen'guang'guang'du'ce'ding'fa 分光光度测定法
'fen'guang'guang'du'ji 分光光度计
'fen'guang'guang'du'tu 分光光度图
'fen'guang'guang'du'xue 分光光度学
'fen'guang'lv'guang'qi 分光滤光器
'fen'guang'xuan'guang'yi 分光旋光仪
'fen'guo 分果
'fen'guo'pan 分果爿
'fen'he 分核
'fen'hong 酚红
'fen'hong'pai'xie'dao'zhi 酚红排泄倒置
'fen'hou'dan'se'su 粪后胆色素
'fen'hou'dan'se'su'yuan 粪后胆色素原
'fen'hua'bian'yi 分化变异
'fen'hua'dan'wei 分化单位
'fen'hua'kang'yuan 分化抗原
'fen'hua'qi 分化期
'fen'hua'qun'kang'yuan 分化群抗原
'fen'hua'ti 分化体
'fen'hua'yi'zhi 分化抑制
'fen'hua'you'dao'ji 分化诱导剂
'fen'hua'zhong'xin 分化中心
'fen'huang'tai 酚磺酞
'fen'ji 分脊
'fen'ji'bao'he 分级饱和
'fen'ji'cao 分级槽
'fen'ji'fen'li 分级分离
'fen'ji'jiang'jie 分级降解
'fen'ji'li'xin 分级离心
'fen'ji'ti'du'xi'tuo 分级梯度洗脱
'fen'ji'xi'tuo 分级洗脱
'fen'ji'yun'dong'shi'yan 分级运动试验
'fen'ji'zheng'liu 分级蒸馏
'fen'jie 酚解
'fen'jie'cheng'an'zuo'yong 分解成氨作用
'fen'jie'dai'xie 分解代谢
'fen'jie'dai'xie'chan'wu 分解代谢产物
'fen'jie'dai'xie'que'shi'jia'shuo 分解代谢缺失假说
'fen'jie'dai'xie'wu 分解代谢物
'fen'jie'dai'xie'wu'ji'yin'huo'hua'dan'bai 分解代谢物基因活化蛋白
'fen'jie'dai'xie'wu'ji'yin'ji'huo'dan'bai 分解代谢物基因激活蛋白
'fen'jie'dai'xie'wu'yi'zhi 分解代谢物抑制
'fen'jie'dai'xie'wu'zu'e 分解代谢物阻遏
'fen'jie'dai'xie'wu'zu'yi 分解代谢物阻抑
'fen'jie'dian'wei 分界电位
'fen'jie'gan'rao 分解干扰
'fen'jie'mei 分解酶
'fen'jie'shou'suo 分节收缩
'fen'jie'xian'xiang 分节现象
'fen'jie'xing 分节性
'fen'jie'zuo'yong 分解作用
'fen'kang'ti 粪抗体
'fen'kuai'bian'ma 分块编码
'fen'lei'cao 分类槽
'fen'lei'dan'wei 分类单位
'fen'lei'di'wei 分类地位
'fen'lei'fan'chou 分类范畴
'fen'lei'ji'shu 分类计数
'fen'lei'qun 分类群
'fen'lei'shu'yu 分类术语
'fen'lei'xing'zhuang 分类性状
'fen'lei'xue 分类学
'fen'lei'zhong 分类种
'fen'li'jiao 分离胶
'fen'li'jun 分离菌
'fen'li'ma'zui 分离麻醉
'fen'li'pei'yang 分离培养
'fen'li'wu 分离物
'fen'li'xiao'lv 分离效率
'fen'li'yun'dong 分离运动
'fen'lie'bu'fen'li 分裂不分离
'fen'lie'he 分裂核
'fen'lie'ji'su 分裂激素
'fen'lie'jian'qi 分裂间期
'fen'lie'mian 分裂面
'fen'lie'nai'shou 分裂耐受
'fen'lie'qiang 分裂腔
'fen'lie'qiu'fen'li 分裂球分离
'fen'lie'sheng'zhang 分裂生长
'fen'lie'sheng'zhi 分裂生殖
'fen'lie'shou 分裂手
'fen'lie'su 分裂素
'fen'lie'xiang 分裂象
'fen'lie'xing'zeng'da 分裂性增大
'fen'lie'yuan 分裂原
'fen'lie'zhou'qi 分裂周期
'fen'liu'fen'shu 分流分数
'fen'liu'wu 分馏物
'fen'liu'zhu 分馏柱
'fen'lou 粪瘘
'fen'lv'ying'su'jian 粉绿罂粟碱
'fen'mai 分脉
'fen'mei 酚酶
'fen'mi'bo'liao'fa 分米波疗法
'fen'mi'cheng'fen 分泌成分
'fen'mi'ji'li 分泌机理
'fen'mi'kang'ti 分泌抗体
'fen'mi'pian 分泌片
'fen'mi'pian'duan 分泌片段
'fen'mi'qi 分泌器
'fen'mi'qi 分泌期
'fen'mi'que'fa 分泌缺乏
'fen'mi'su 分泌素
'fen'mi'su'jian'neng'mei 分泌素减能酶
'fen'mi'tai'duan 分泌肽段
'fen'mi'ting'zhi 分泌停止
'fen'mi'xi'bao 分泌细胞
'fen'mi'xian 分泌腺
'fen'mi'xiao'pao 分泌小泡
'fen'mi'xing 分泌型
'fen'mi'xing'dan'bai 分泌性蛋白
'fen'mi'xing'mei 分泌性酶
'fen'mi'xing'zai'ti 分泌型载体
'fen'mi'xue 分泌学
'fen'mi'yi'chang 分泌异常
'fen'mi'zai'ti 分泌载体
'fen'mi'zhe 分泌者
'fen'mi'zi'shi 分泌自噬
'fen'mi'zuo'yong 分泌作用
'fen'nie'qi 分蘖期
'fen'pei 分培
'fen'pei'ceng'xi 分配层析
'fen'pei'ding'lv 分配定律
'fen'pei'ping'heng 分配平衡
'fen'pei'se'pu'fa 分配色谱法
'fen'pei'xi'shu 分配系数
'fen'pei'xiang 分配相
'fen'pi'cao'zuo 分批操作
'fen'pi'fa'jiao'fa 分批发酵法
'fen'pi'gong'yi 分批工艺
'fen'pi'guo'lv'qi 分批过滤器
'fen'pi'pei'yang 分批培养
'fen'pi'ti'qu 分批提取
'fen'pi'xiao'hua'qi 分批消化器
'fen'qi'qie'chu 分期切除
'fen'qi'xing'zhuang 分歧性状
'fen'qi'xiu'fu 分期修复
'fen'qin'liu'suan'jia'zhi 吩嗪硫酸甲酯
'fen'rui'huang'yang'chun'jian 粉蕊黄杨醇碱
'fen'san'gao'er'ji'ti 分散高尔基体
'fen'san'gao'er'ji'ti'fen'lie 分散高尔基体分裂
'fen'san'jiao'ti 分散胶体
'fen'san'jiao'zhuang'ti 分散胶状体
'fen'san'liang'ji'xi'bao 分散两极细胞
'fen'san'ti 分散体
'fen'san'xi'tong 分散系统
'fen'san'zuo'yong 分散作用
'fen'sen'yin'yan 奋森龈炎
'fen'sha'tu 粉砂土
'fen'sheng'bao'zi 分生孢子
'fen'sheng'bao'zi'geng 分生孢子梗
'fen'sheng'bao'zi'guo 分生孢子果
'fen'sheng'bao'zi'nang 分生孢子囊
'fen'sheng'bao'zi'pan 分生孢子盘
'fen'sheng'bao'zi'qi 分生孢子器
'fen'sheng'bao'zi'qi'geng 分生孢子器梗
'fen'sheng'bao'zi'zi'shi'ti 分生孢子子实体
'fen'sheng'bao'zi'zuo 分生孢子座
'fen'sheng'dong'wu 粪生动物
'fen'sheng'ti 分生体
'fen'sheng'zhi'wu 粪生植物
'fen'sheng'zu'zhi 分生组织
'fen'sheng'zu'zhi'pei'yang 分生组织培养
'fen'shi 粪石
'fen'shi'tang'song'cao'jian 芬式唐松草碱
'fen'shu'zhuan'huan'lv 分数转换率
'fen'sui'ran'se'ti 粉碎染色体
'fen'te'rou'ya'yang'liu 芬特肉芽样瘤
'fen'ti'zhong'zhu 分体中柱
'fen'xi'ceng'xi 分析层析
'fen'xi'chun 分析纯
'fen'xi'fen'lei'xue 分析分类学
'fen'xi'wu 分析物
'fen'xi'xi'bao'xue 分析细胞学
'fen'xi'zhu 分析柱
'fen'xiang'ji'suan 分相计算
'fen'xue'qi 分血器
'fen'ya 粉芽
'fen'ya'dui 粉芽堆
'fen'ya'qi 分牙器
'fen'ya'shu 分牙术
'fen'yan 酚盐
'fen'ye'gan 分叶肝
'fen'ye'lou'dou 分液漏斗
'fen'ye'pi'ban 分叶皮瓣
'fen'yuan'zhi'wu 粉源植物
'fen'zai'chun 粪甾醇
'fen'zai'tong 粪甾酮
'fen'zai'wan 粪甾烷
'fen'zai'wan'tong 粪甾烷酮
'fen'zai'xi'chun 粪甾烯醇
'fen'zai'xi'tong 粪甾烯酮
'fen'zhang'ai 粉障碍
'fen'zhi'an'ji'suan 分支氨基酸
'fen'zhi'gan'jun 分枝杆菌
'fen'zhi'gan'jun'bing 分枝杆菌病
'fen'zhi'gan'jun'xing'kui'yang 分枝杆菌性溃疡
'fen'zhi'hua'zhu 分枝花柱
'fen'zhi'jin'hua 分枝进化
'fen'zhi'jing 分枝茎
'fen'zhi'jun'su 分枝菌素
'fen'zhi'jun'zuo'ji 分枝菌佐剂
'fen'zhi'kong'ban 分枝孔板
'fen'zhi'mei 分支酶
'fen'zhi'shi 分枝式
'fen'zhi'suan 分支酸
'fen'zhi'suan'he'cheng'mei 分支酸合成酶
'fen'zhi'tu'jing 分支途径
'fen'zhi'wei'yi 分支位移
'fen'zhi'xi'jun 分枝细菌
'fen'zhi'xi'tong'xue 分支系统学
'fen'zhi'yin'zi 分支因子
'fen'zhi'yue'shu'fa 分支约束法
'fen'zhi'zha'lan'xi'bao 分枝栅栏细胞
'fen'zhu'chong 粉蛀虫
'fen'zhu'tou 分柱头
'fen'zi'biao'mian'ji 分子表面积
'fen'zi'bing 分子病
'fen'zi'bing'li'xue 分子病理学
'fen'zi'bu'dui'chen'xing 分子不对称性
'fen'zi'ceng 分子层
'fen'zi'chuang'shang'xue 分子创伤学
'fen'zi'da'xiao 分子大小
'fen'zi'di'he 分子缔合
'fen'zi'di'he'xian'xiang 分子缔合现象
'fen'zi'fang'sheng'xue 分子仿生学
'fen'zi'fen'lei'xue 分子分类学
'fen'zi'gou'xiang 分子构象
'fen'zi'guang'sheng'wu'xue 分子光生物学
'fen'zi'ji'hua 分子极化
'fen'zi'jian 分子间
'fen'zi'jian'hu'xi 分子间呼吸
'fen'zi'jian'li 分子间力
'fen'zi'jian'qing'jian 分子间氢键
'fen'zi'jian'xiang'hu'zuo'yong 分子间相互作用
'fen'zi'jin'hua 分子进化
'fen'zi'ke'long 分子克隆
'fen'zi'ke'long'hua 分子克隆化
'fen'zi'li'zi 分子离子
'fen'zi'liang 分子量
'fen'zi'liang'biao'zhun'can'zhao'wu 分子量标准参照物
'fen'zi'liang'ce'ding 分子量测定
'fen'zi'liang'dan'wei 分子量单位
'fen'zi'liang'de'dan'wei 分子量的单位
'fen'zi'luo'xuan 分子螺旋
'fen'zi'mian'yi'xue 分子免疫学
'fen'zi'mo'ni 分子模拟
'fen'zi'mo'xing 分子模型
'fen'zi'mo'xing'hua 分子模型化
'fen'zi'mo'xing'jian'zao 分子模型建造
'fen'zi'nei'chong'pai'zuo'yong 分子内重排作用
'fen'zi'nei'hu'xi 分子内呼吸
'fen'zi'nei'jian'jie 分子内剪接
'fen'zi'nei'qian'yi 分子内迁移
'fen'zi'nei'qian'yi'zuo'yong 分子内迁移作用
'fen'zi'nei'xiang'hu'zuo'yong 分子内相互作用
'fen'zi'pai'zu'ceng'xi 分子排阻层析
'fen'zi'pai'zu'se'pu'fa 分子排阻色谱法
'fen'zi'pei'ban 分子陪伴
'fen'zi'rong'jie 分子熔解
'fen'zi'shen'jing'sheng'wu'xue 分子神经生物学
'fen'zi'sheng'wu'wu'li'xue 分子生物物理学
'fen'zi'sheng'wu'xue 分子生物学
'fen'zi'shi'bie 分子识别
'fen'zi'tu'xing'xue 分子图形学
'fen'zi'xi'bao'xue 分子细胞学
'fen'zi'xi'bao'yi'chuan'xue 分子细胞遗传学
'fen'zi'xing 分子性
'fen'zi'yi'chuan'xue 分子遗传学
'fen'zi'yin'ji 分子印迹
'fen'zi'za'jiao 分子杂交
'fen'zi'za'jiao'fan'ying'zhong 分子杂交反应中
'fen'zi'za'zhong 分子杂种
'fen'zi'zhen'dong 分子振动
'fen'zi'zhi'huan 分子置换
'fen'zi'zu'cheng 分子组成
'fen'zong'bao 分总苞
'feng'ao'shang 蜂螯伤
'feng'ban 封瓣
'feng'ban 峰板
'feng'bi'fan'ying'mao 封闭反应帽
'feng'bi'mei 封闭酶
'feng'bi'shi'yan 封闭试验
'feng'bi'xing'kang'ti 封闭性抗体
'feng'bi'yin'zi 封闭因子
'feng'bo'fu'you'sheng'wu 风播浮游生物
'feng'chao'la'jiao 蜂巢蜡胶
'feng'chao'wei 蜂巢胃
'feng'chong'mei 风虫媒
'feng'chun 葑醇
'feng'dian'wei 峰电位
'feng'du'ji'tai 蜂毒激肽
'feng'du'ming'tai 蜂毒明肽
'feng'du'su 蜂毒素
'feng'du'tai 蜂毒肽
'feng'gan'fa 风干法
'feng'gu'ji 封固剂
'feng'he'wen'he 缝合吻合
'feng'hou'shi'qi 峰后时期
'feng'hua'suan 蜂花酸
'feng'ji 缝际
'feng'jian'gu 缝间骨
'feng'jiang'ji 缝匠肌
'feng'kou'qi 蜂口器
'feng'kuan 峰宽
'feng'la'chun 蜂蜡醇
'feng'lei 蜂类
'feng'lie'kong'kou 缝裂孔口
'feng'lie'nang'ke 缝裂囊壳
'feng'mei 风媒
'feng'mei'bao'zi 风媒孢子
'feng'mei'chuan'fen 风媒传粉
'feng'mei'shou'fen 风媒受粉
'feng'mei'zhi'wu 风媒植物
'feng'mian'ji 峰面积
'feng'pi'ding 缝皮钉
'feng'sheng'du 丰盛度
'feng'shi'xing'huan'zhuang'hong'ban 风湿性环状红斑
'feng'shi'zheng 风湿症
'feng'tang'niao'zheng 枫糖尿症
'feng'tang'shou'shu 丰唐手术
'feng'tong 葑酮
'feng'tu'xun'hua 风土驯化
'feng'wan 葑烷
'feng'wo'wei 蜂窝胃
'feng'wo'zhi'yan 蜂窝织炎
'feng'wo'zhi'yan'xing'lan'wei'yan 蜂窝织炎性阑尾炎
'feng'wo'zhuang'xiao'wo 蜂窝状小窝
'feng'wo'zu'zhi 蜂窝组织
'feng'xian'bao'ya'fa 缝线包压法
'feng'xian'sun'yi'ping'jia 风险损益评价
'feng'xian'tai'er 风险胎儿
'feng'xiang'shu'su 风箱树素
'feng'xing 峰形
'feng'zha 缝扎
'feng'zha'fa'zhong'jian'cheng'xing'shu 缝扎法重睑成形术
'feng'zhen'bing'du 风疹病毒
'feng'zu'kang'ti 封阻抗体
'fo'bo'zhi 佛波酯
'fo'luo'na'huan'chong'ye 佛罗那缓冲液
'fo'ti'su 佛提素
'fo'yan'bao 佛焰苞
'fo'yan'hua'xu 佛焰花序
'fu'an 腐胺
'fu'an'suan 脯氨酸
'fu'an'suan'er'jia'nei'yan 脯氨酸二甲内盐
'fu'an'suan'guo'duo'xue 脯氨酸过多血
'fu'an'suan'yang'hua'mei'que'shi'zheng 脯氨酸氧化酶缺失症
'fu'bai'du 腐败毒
'fu'bai'fa'jiao 腐败发酵
'fu'bai'ji 腐败剂
'fu'bai'su 腐败素
'fu'bai'suan 腐败蒜
'fu'bai'xi'jun 腐败细菌
'fu'bai'xian 腹白线
'fu'bai'zuo'yong 腐败作用
'fu'ban 腹瓣
'fu'ban 辐板
'fu'ban 复斑
'fu'ban'pian 负瓣片
'fu'ban'qian'bu 腹板前部
'fu'ban'shi'yan 肤斑试验
'fu'bao 辐胞
'fu'bao'zi 腹孢子
'fu'bao'zi 副孢子
'fu'bei'xian 跗杯陷
'fu'ben 父本
'fu'ben'lei'xing 父本类型
'fu'bi 附壁
'fu'bi 复臂
'fu'bi'bu'fen'qie'chu'shu 腹壁部分切除术
'fu'bi'cheng'xing'shu 腹壁成形术
'fu'bi'duo'zhi'zheng 腹壁多脂症
'fu'bi'fan'she 腹壁反射
'fu'bi'gan'ran 腹壁感染
'fu'bi'huai'si'xing'jin'mo'yan 腹壁坏死性筋膜炎
'fu'bi'ji'xing 复臂畸形
'fu'bi'pi'fu'song'chui 腹壁皮肤松垂
'fu'bi'pi'fu'zhi'fang'qie'chu'shu 腹壁皮肤脂肪切除术
'fu'bi'wei'qun'zhuang'song'chui 腹壁围裙状松垂
'fu'bi'ying'xian'wei'liu 腹壁硬纤维瘤
'fu'bi'zhong'liu 腹壁肿瘤
'fu'bian'mao 副鞭毛
'fu'bian'tai 副变态
'fu'bian'tai 复变态
'fu'bian'tai'fan'ying 副变态反应
'fu'bian'ying'xing 副变应性
'fu'biao 浮鳔
'fu'bing 腹柄
'fu'bo'dong'qi 副搏动器
'fu'bo'shi'zheng 福伯氏症
'fu'bu 辐部
'fu'bu'bei'chi 腹部背齿
'fu'bu'bei'zhe 腹部背褶
'fu'bu'bing'se'tong 呋哺并色酮
'fu'bu'duo'zang'qi'yi'zhi 腹部多脏器移植
'fu'cao'mei'su 腐草霉素
'fu'ce 腹侧
'fu'ce'jiao 腹侧角
'fu'ce'pian 腹侧片
'fu'ceng'lin 复层林
'fu'ceng'shang'pi 复层上皮
'fu'chao'feng 复巢蜂
'fu'chao'luo'xuan 负超螺旋
'fu'chi 覆翅
'fu'chu'jiao 复触角
'fu'chun'xu'jie 负唇须节
'fu'ci 副刺
'fu'ci 复刺
'fu'ci'rui 复雌蕊
'fu'cu'zhong 腹卒中
'fu'da'bao'zi 复大孢子
'fu'da'feng'zi'suan 副大风子酸
'fu'dai'si'bing 福代斯病
'fu'dan'bai 副蛋白
'fu'dan'bai'dong 副蛋白胨
'fu'dan'bai'xue 副蛋白血
'fu'dan'ping'heng 负氮平衡
'fu'dan'zi 腹担子
'fu'dao'ci'dai 副导刺带
'fu'dao'dou'an'suan 副刀豆氨酸
'fu'deng'wei'ji'yin 复等位基因
'fu'deng'wei'ji'yin'xing 复等位基因性
'fu'dian'fen 副淀粉
'fu'ding'zhi 复顶枝
'fu'dong'mu'zhi 浮动拇指
'fu'duan'bei'gong 腹端背拱
'fu'duan'jie 跗端节
'fu'dun 腹盾
'fu'e 副萼
'fu'er 副耳
'fu'er'gen'fan'ying 富尔根反应
'fu'er'gen'fan'ying 福尔根反应
'fu'er'gen'ran'se 富尔根染色
'fu'er'gen'shi'fan'ying 福尔根氏反应
'fu'er'qi'ju'san'hua'xu 复二歧聚伞花序
'fu'er'qi'shi 复二歧式
'fu'fa'xing'a'fu'ta'kou'yan 复发性阿弗他口炎
'fu'fa'xing'a'fu'ta'kui'yang 复发性阿弗他溃疡
'fu'fa'xing'chu'xie 复发性出血
'fu'fa'xing'dan'chun'pao'zhen 复发性单纯疱疹
'fu'fa'xing'dan'zong'guan'jie'shi'bing 复发性胆总管结石病
'fu'fa'xing'er'qi'mei'du 复发性二期梅毒
'fu'fa'xing'feng'shi'bing 复发性风湿病
'fu'fa'xing'kui'yang 复发性溃疡
'fu'fa'xing'lan'wei'yan 复发性阑尾炎
'fu'fa'zhen 附发疹
'fu'fan'ying 副反应
'fu'fan'zhuan'lu'bing'du 副反转录病毒
'fu'fang'yao'ji 复方药剂
'fu'fen'jie 跗分节
'fu'fen'lie 复分裂
'fu'gai'mei'su 覆盖霉素
'fu'gai'yi'chi 覆盖义齿
'fu'gai'yin'zi 覆盖因子
'fu'gai'zhi'wu 覆盖植物
'fu'gan'lu'tang 氟甘露糖
'fu'gan'she 负干涉
'fu'gao 附睾
'fu'gao'gao'wan'yan 附睾睾丸炎
'fu'gao'guan 附睾管
'fu'gao'lei'xian'liu 附睾类腺瘤
'fu'gao'mei'du 附睾梅毒
'fu'gao'nang'xian'liu 附睾囊腺瘤
'fu'gao'rou'liu 附睾肉瘤
'fu'gao'xian'liu 附睾腺瘤
'fu'gao'zao'ying 附睾造影
'fu'gao'zhong'liu 附睾肿瘤
'fu'ge'jun'su 伏革菌素
'fu'ge'sen'shan'xiu'bu'shu 弗格森疝修补术
'fu'ge'te 福格特
'fu'gen 腹根
'fu'gou'xi'bao 腹沟细胞
'fu'gou'xing 复沟型
'fu'gu 跗骨
'fu'gu'gou'bu'ban'hen'luan'suo 腹股沟部瘢痕挛缩
'fu'gu'gou'rou'ya'zhong 腹股沟肉芽肿
'fu'gu'gou'shan 腹股沟疝
'fu'guan 腹管
'fu'guan 辐管
'fu'guo 附果
'fu'guo 副果
'fu'guo 复果
'fu'guo'e 附果萼
'fu'guo'ti 附果体
'fu'han'luan'huang 富含卵黄
'fu'he 副核
'fu'he'ban'kang'yuan 复合半抗原
'fu'he'bao'zi 复合孢子
'fu'he'bao'zi'nang 复合孢子囊
'fu'he'ding'zhi 复合顶枝
'fu'he'gu'ding'qiao 复合固定桥
'fu'he'huo'hua'zuo'yong 复合活化作用
'fu'he'jing 复合茎
'fu'he'kang'yuan 复合抗原
'fu'he'lian'jie'ti 复合连接体
'fu'he'pi'ban 复合皮瓣
'fu'he'ren 副核仁
'fu'he'shang 复合伤
'fu'he'shen'jing'jie 复合神经节
'fu'he'sheng'jing 复合生境
'fu'he'shu'zhi 复合树脂
'fu'he'tang 复合糖
'fu'he'ti 复合体
'fu'he'wu 复合物
'fu'he'wu'fa 复合物法
'fu'he'ya'se 复合牙色
'fu'he'yi'chuan 复合遗传
'fu'he'yun'dong 负荷运动
'fu'he'za'he'zi 复合杂合子
'fu'he'za'jiao 复合杂交
'fu'he'zhong 复合种
'fu'he'zi'fang 复合子房
'fu'he'zu'zhi'yi'zhi 复合组织移植
'fu'he'zu'zhi'yi'zhi'shu 复合组织移植术
'fu'hei'wu 腐黑物
'fu'hong 复红
'fu'hong'xi'bao'tang'gan'zhi 副红细胞糖苷脂
'fu'hou 腹厚
'fu'hou'wai'ce'he 腹后外侧核
'fu'hu'bu 负互补
'fu'hua'ban 副花瓣
'fu'hua'fu'yi'suan 氟化氟乙酸
'fu'hua'geng 副花梗
'fu'hua'guan 副花冠
'fu'hua'mei 孵化酶
'fu'hua'zhu 复花柱
'fu'huang'piao'ling 副黄嘌呤
'fu'hui'gui'fen'xi 复回归分析
'fu'huo'xing 副活性
'fu'huo'zuo'yong 复活作用
'fu'ji 辅基
'fu'ji 附脊
'fu'ji 富集
'fu'ji 浮集
'fu'ji'ding'zhi 辐几丁质
'fu'ji'dong'dan'bai 辅肌动蛋白
'fu'ji'fa 浮集法
'fu'ji'fa'yu'que'xian'zong'he'zheng 腹肌发育缺陷综合征
'fu'ji'hua 复极化
'fu'ji'jie 跗基节
'fu'ji'li 副基粒
'fu'ji'lian'pian 腹基连片
'fu'ji'pei'yang 富集培养
'fu'ji'pei'yang'ji 富集培养基
'fu'ji'qiu'dan'bai 副肌球蛋白
'fu'ji'sheng'wu 复寄生物
'fu'ji'su 副激素
'fu'ji'suo 副脊索
'fu'ji'wu 辅激物
'fu'ji'yan 腹肌炎
'fu'ji'yin'kong'zhi 负基因控制
'fu'jia 腹甲
'fu'jia'dan'bei'ti 附加单倍体
'fu'jia'qin'he 附加亲和
'fu'jia'ti 附加体
'fu'jia'xi 附加系
